fuel,UnitedStates,UnitedStatesPct,Connecticut,ConnecticutPct,Maine,MainePct,Massachusetts,MassachusettsPct,NewHampshire,NewHampshirePct,RhodeIsland,RhodeIslandPct,Vermont,VermontPct,NewJersey,NewJerseyPct,NewYork,NewYorkPct,Pennsylvania,PennsylvaniaPct,Illinois,IllinoisPct,Indiana,IndianaPct,Michigan,MichiganPct,Ohio,OhioPct,Wisconsin,WisconsinPct,Iowa,IowaPct,Kansas,KansasPct,Minnesota,MinnesotaPct,Missouri,MissouriPct,Nebraska,NebraskaPct,NorthDakota,NorthDakotaPct,SouthDakota,SouthDakotaPct,Delaware,DelawarePct,Florida,FloridaPct,Georgia,GeorgiaPct,Maryland,MarylandPct,NorthCarolina,NorthCarolinaPct,SouthCarolina,SouthCarolinaPct,Virginia,VirginiaPct,WestVirginia,WestVirginiaPct,Alabama,AlabamaPct,Kentucky,KentuckyPct,Mississippi,MississippiPct,Tennessee,TennesseePct,Arkansas,ArkansasPct,Louisiana,LouisianaPct,Oklahoma,OklahomaPct,Texas,TexasPct,Arizona,ArizonaPct,Colorado,ColoradoPct,Idaho,IdahoPct,Montana,MontanaPct,Nevada,NevadaPct,NewMexico,NewMexicoPct,Utah,UtahPct,Wyoming,WyomingPct,California,CaliforniaPct,Oregon,OregonPct,Washington,WashingtonPct,Alaska,AlaskaPct,Hawaii,HawaiiPct
all fuels,3948777.000000,100.000000,34338.000000,100.000000,9745.000000,100.000000,33125.000000,100.000000,19351.000000,100.000000,6264.000000,100.000000,7281.000000,100.000000,65127.000000,100.000000,134734.000000,100.000000,222684.000000,100.000000,200753.000000,100.000000,112370.000000,100.000000,103365.000000,100.000000,137659.000000,100.000000,63032.000000,100.000000,55476.000000,100.000000,50027.000000,100.000000,51121.000000,100.000000,92534.000000,100.000000,37676.000000,100.000000,35742.000000,100.000000,10505.000000,100.000000,6755.000000,100.000000,219099.000000,100.000000,119238.000000,100.000000,37695.000000,100.000000,125658.000000,100.000000,94061.000000,100.000000,77203.000000,100.000000,77832.000000,100.000000,145780.000000,100.000000,90092.000000,100.000000,49794.000000,100.000000,76631.000000,100.000000,58812.000000,100.000000,74558.000000,100.000000,74215.000000,100.000000,400856.000000,100.000000,110420.000000,100.000000,53669.000000,100.000000,15679.000000,100.000000,26880.000000,100.000000,35388.000000,100.000000,34555.000000,100.000000,41884.000000,100.000000,51063.000000,100.000000,181489.000000,100.000000,59060.000000,100.000000,112371.000000,100.000000,5886.000000,100.000000,8470.000000,100.000000
coal,1617278.000000,40.956428,1001.000000,2.915138,41.000000,0.420729,4327.000000,13.062642,1530.000000,7.906568,-99999.000000,-99999.000000,-99999.000000,-99999.000000,2568.000000,3.943065,5056.000000,3.752579,90376.000000,40.584865,87433.000000,43.552525,97547.000000,86.808757,56779.000000,54.930586,97503.000000,70.829368,40947.000000,64.962241,31987.000000,57.659168,29691.000000,59.349951,24052.000000,47.049158,77173.000000,83.399615,26214.000000,69.577450,27827.000000,77.855184,2884.000000,27.453594,1855.000000,27.461140,49623.000000,22.648666,44290.000000,37.144199,17947.000000,47.611089,50490.000000,40.180490,25487.000000,27.096246,22051.000000,28.562362,74824.000000,96.135266,48723.000000,33.422280,83220.000000,92.372242,9731.000000,19.542515,33595.000000,43.839960,33174.000000,56.406856,20197.000000,27.088978,30424.000000,40.994408,153842.000000,38.378370,43884.000000,39.742800,33924.000000,63.209674,-99999.000000,-99999.000000,13873.000000,51.610863,5986.000000,16.915339,22462.000000,65.003617,33836.000000,80.785025,45625.000000,89.350410,667.000000,0.367515,3577.000000,6.056553,7142.000000,6.355732,388.000000,6.591913,1458.000000,17.213695
petroleum liquids,18594.000000,0.470880,615.000000,1.791019,342.000000,3.509492,1014.000000,3.061132,318.000000,1.643326,79.000000,1.261175,-99999.000000,-99999.000000,450.000000,0.690958,2387.000000,1.771639,679.000000,0.304916,58.000000,0.028891,116.000000,0.103230,150.000000,0.145117,310.000000,0.225194,42.000000,0.066633,71.000000,0.127983,51.000000,0.101945,58.000000,0.113456,81.000000,0.087535,29.000000,0.076972,25.000000,0.069946,8.000000,0.076154,164.000000,2.427831,448.000000,0.204474,112.000000,0.093930,477.000000,1.265420,436.000000,0.346974,252.000000,0.267911,1096.000000,1.419634,179.000000,0.229983,83.000000,0.056935,102.000000,0.113218,12.000000,0.024099,194.000000,0.253161,40.000000,0.068013,41.000000,0.054991,12.000000,0.016169,102.000000,0.025446,-168.000000,-0.152146,4.000000,0.007453,-99999.000000,-99999.000000,11.000000,0.040923,19.000000,0.053691,49.000000,0.141803,28.000000,0.066851,40.000000,0.078335,40.000000,0.022040,7.000000,0.011852,6.000000,0.005339,656.000000,11.145090,6316.000000,74.569067
petroleum coke,11887.000000,0.301030,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,0.000000,0.000000,0.000000,0.000000,-99999.000000,-99999.000000,1330.000000,1.183590,395.000000,0.382141,1093.000000,0.793991,94.000000,0.149131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,2509.000000,1.145144,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,0.000000,0.000000,-99999.000000,-99999.000000,0.000000,0.000000,-99999.000000,-99999.000000,1254.000000,1.391910,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,4607.000000,6.179082,-99999.000000,-99999.000000,101.000000,0.025196,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,430.000000,1.599702,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,0.000000,0.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000
natural gas,1011513.000000,25.615855,13910.000000,40.509057,2995.000000,30.733710,20024.000000,60.449811,3438.000000,17.766524,6078.000000,97.030651,0.000000,0.000000,27338.000000,41.976446,51872.000000,38.499562,46731.000000,20.985342,5406.000000,2.692861,9157.000000,8.148972,13018.000000,12.594205,20955.000000,15.222397,7665.000000,12.160490,1229.000000,2.215372,1903.000000,3.803946,5512.000000,10.782262,4099.000000,4.429723,469.000000,1.244824,0.000000,0.000000,585.000000,5.568777,4614.000000,68.304959,133915.000000,61.120772,37263.000000,31.250943,2611.000000,6.926648,26997.000000,21.484506,11571.000000,12.301592,22535.000000,29.189280,418.000000,0.537054,43620.000000,29.921800,2029.000000,2.252142,30181.000000,60.611720,3881.000000,5.064530,10586.000000,17.999728,29465.000000,39.519569,30227.000000,40.728963,166330.000000,41.493703,26309.000000,23.826300,11034.000000,20.559355,3342.000000,21.315135,-99999.000000,-99999.000000,22792.000000,64.406013,9176.000000,26.554768,6307.000000,15.058256,-99999.000000,-99999.000000,104870.000000,57.783116,13564.000000,22.966475,11453.000000,10.192131,3177.000000,53.975535,-99999.000000,-99999.000000
other gases,3469.000000,0.087850,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,14.000000,0.006974,-99999.000000,-99999.000000,620.000000,0.599816,278.000000,0.201948,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,747.000000,1.001905,-99999.000000,-99999.000000,1357.000000,0.338526,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,0.000000,0.000000,10.000000,0.028258,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,0.000000,0.000000,-99999.000000,-99999.000000,397.000000,0.353294,-99999.000000,-99999.000000,-99999.000000,-99999.000000
nuclear,791280.000000,20.038609,17005.000000,49.522395,-99999.000000,-99999.000000,4664.000000,14.080000,10923.000000,56.446695,-99999.000000,-99999.000000,5221.000000,71.707183,33271.000000,51.086339,44378.000000,32.937492,76841.000000,34.506745,97104.000000,48.369887,-99999.000000,-99999.000000,27462.000000,26.567987,15475.000000,11.241546,10410.000000,16.515421,5312.000000,9.575312,8104.000000,16.199252,10866.000000,21.255453,8395.000000,9.072341,7814.000000,20.739994,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,28359.000000,12.943464,33654.000000,28.224224,14140.000000,37.511606,40472.000000,32.208057,53985.000000,57.393606,29291.000000,37.940235,-99999.000000,-99999.000000,41060.000000,28.165729,-99999.000000,-99999.000000,9867.000000,19.815640,28608.000000,37.332150,11921.000000,20.269673,18401.000000,24.680115,-99999.000000,-99999.000000,40380.000000,10.073443,31620.000000,28.636117,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,17806.000000,9.811063,-99999.000000,-99999.000000,8466.000000,7.533972,-99999.000000,-99999.000000,-99999.000000,-99999.000000
conventional hydroelectric,262911.000000,6.658036,107.000000,0.311608,3489.000000,35.802976,1116.000000,3.369057,1410.000000,7.286445,-99999.000000,-99999.000000,1306.000000,17.937097,-99999.000000,-99999.000000,24951.000000,18.518711,2663.000000,1.195865,-99999.000000,-99999.000000,402.000000,0.357747,1020.000000,0.986794,439.000000,0.318904,1180.000000,1.872065,547.000000,0.986012,-99999.000000,-99999.000000,-99999.000000,-99999.000000,1260.000000,1.361662,1092.000000,2.898397,1790.000000,5.008114,4113.000000,39.152784,-99999.000000,-99999.000000,-99999.000000,-99999.000000,3580.000000,3.002399,1457.000000,3.865234,5442.000000,4.330803,3099.000000,3.294670,1482.000000,1.919615,1019.000000,1.309230,12089.000000,8.292633,3367.000000,3.737291,-99999.000000,-99999.000000,10320.000000,13.467135,2955.000000,5.024485,1039.000000,1.393546,2190.000000,2.950886,1170.000000,0.291875,5868.000000,5.314255,1322.000000,2.463247,9380.000000,59.825244,10039.000000,37.347470,2751.000000,7.773822,-99999.000000,-99999.000000,461.000000,1.100659,723.000000,1.415898,21941.000000,12.089438,33886.000000,57.375550,77430.000000,68.905679,1445.000000,24.549779,-99999.000000,-99999.000000
other renewables,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000
wind,173142.000000,4.384699,-99999.000000,-99999.000000,1088.000000,11.164700,180.000000,0.543396,405.000000,2.092915,-99999.000000,-99999.000000,258.000000,3.543469,-99999.000000,-99999.000000,3738.000000,2.774355,3409.000000,1.530869,9880.000000,4.921471,3409.000000,3.033728,2959.000000,2.862671,1132.000000,0.822322,1619.000000,2.568537,16012.000000,28.862932,10082.000000,20.153117,8643.000000,16.906946,1161.000000,1.254674,1952.000000,5.181017,6036.000000,16.887695,2834.000000,26.977630,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,308.000000,0.817084,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,1381.000000,1.774334,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,50.000000,0.065248,-99999.000000,-99999.000000,-99999.000000,-99999.000000,11446.000000,15.422758,36713.000000,9.158650,450.000000,0.407535,7350.000000,13.695057,2727.000000,17.392691,1741.000000,6.476935,267.000000,0.754493,2242.000000,6.488207,612.000000,1.461178,4601.000000,9.010438,13431.000000,7.400449,7445.000000,12.605825,6926.000000,6.163512,124.000000,2.106694,489.000000,5.773318
solar,10423.000000,0.263955,-99999.000000,-99999.000000,-99999.000000,-99999.000000,59.000000,0.178113,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,450.000000,0.690958,53.000000,0.039337,38.000000,0.017065,26.000000,0.012951,10.000000,0.008899,-99999.000000,-99999.000000,30.000000,0.021793,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,20.000000,0.296077,239.000000,0.109083,25.000000,0.020966,42.000000,0.111421,415.000000,0.330262,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,191.000000,0.047648,2280.000000,2.064843,172.000000,0.320483,-99999.000000,-99999.000000,-99999.000000,-99999.000000,735.000000,2.076975,412.000000,1.192302,-99999.000000,-99999.000000,-99999.000000,-99999.000000,4832.000000,2.662420,-99999.000000,-99999.000000,0.000000,0.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000
geothermal,16379.000000,0.414787,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,93.000000,0.593150,-99999.000000,-99999.000000,2821.000000,7.971629,-99999.000000,-99999.000000,395.000000,0.943081,-99999.000000,-99999.000000,12590.000000,6.937060,172.000000,0.291229,-99999.000000,-99999.000000,-99999.000000,-99999.000000,293.000000,3.459268
biomass,29106.000000,0.737089,418.000000,1.217310,1596.000000,16.377630,489.000000,1.476226,1261.000000,6.516459,95.000000,1.516603,245.000000,3.364922,833.000000,1.279039,1835.000000,1.361943,431.000000,0.193548,621.000000,0.309335,261.000000,0.232268,1667.000000,1.612732,-99999.000000,-99999.000000,1046.000000,1.659475,112.000000,0.201889,52.000000,0.103944,1349.000000,2.638837,55.000000,0.059438,39.000000,0.103514,-99999.000000,-99999.000000,0.000000,0.000000,54.000000,0.799408,2385.000000,1.088549,574.000000,0.481390,369.000000,0.978910,1255.000000,0.998743,441.000000,0.468845,1644.000000,2.129451,-99999.000000,-99999.000000,18.000000,0.012347,94.000000,0.104338,1.000000,0.002008,12.000000,0.015659,89.000000,0.151330,54.000000,0.072427,0.000000,0.000000,673.000000,0.167891,122.000000,0.110487,41.000000,0.076394,118.000000,0.752599,-99999.000000,-99999.000000,0.000000,0.000000,-99999.000000,-99999.000000,54.000000,0.128928,-99999.000000,-99999.000000,4793.000000,2.640931,236.000000,0.399594,475.000000,0.422707,-99999.000000,-99999.000000,26.000000,0.306966
wood and wood-derived fuels,12894.000000,0.326531,30.000000,0.087367,1511.000000,15.505387,49.000000,0.147925,1148.000000,5.932510,-99999.000000,-99999.000000,438.000000,6.015657,-99999.000000,-99999.000000,454.000000,0.336960,30.000000,0.013472,-99999.000000,-99999.000000,-99999.000000,-99999.000000,991.000000,0.958738,-99999.000000,-99999.000000,551.000000,0.874159,-99999.000000,-99999.000000,-99999.000000,-99999.000000,354.000000,0.692475,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,536.000000,0.244638,478.000000,0.400879,0.000000,0.000000,972.000000,0.773528,314.000000,0.333826,923.000000,1.195549,-99999.000000,-99999.000000,189.000000,0.129647,-99999.000000,-99999.000000,0.000000,0.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,109.000000,0.027192,109.000000,0.098714,2.000000,0.003727,64.000000,0.408189,-99999.000000,-99999.000000,0.000000,0.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,3074.000000,1.693767,98.000000,0.165933,282.000000,0.250954,-99999.000000,-99999.000000,-99999.000000,-99999.000000
other biomass,16214.000000,0.410608,669.000000,1.948279,83.000000,0.851719,1068.000000,3.224151,113.000000,0.583949,95.000000,1.516603,12.000000,0.164813,833.000000,1.279039,1380.000000,1.024240,1594.000000,0.715813,621.000000,0.309335,261.000000,0.232268,676.000000,0.653993,285.000000,0.207033,497.000000,0.788488,112.000000,0.201889,52.000000,0.103944,998.000000,1.952231,55.000000,0.059438,39.000000,0.103514,-99999.000000,-99999.000000,0.000000,0.000000,54.000000,0.799408,1847.000000,0.842998,96.000000,0.080511,369.000000,0.978910,281.000000,0.223623,127.000000,0.135019,725.000000,0.939083,-99999.000000,-99999.000000,1.000000,0.000686,94.000000,0.104338,1.000000,0.002008,12.000000,0.015659,89.000000,0.151330,54.000000,0.072427,0.000000,0.000000,563.000000,0.140449,33.000000,0.029886,39.000000,0.072668,59.000000,0.376300,-99999.000000,-99999.000000,0.000000,0.000000,-99999.000000,-99999.000000,54.000000,0.128928,-99999.000000,-99999.000000,1718.000000,0.946614,209.000000,0.353877,195.000000,0.173532,-99999.000000,-99999.000000,26.000000,0.306966
hydro-electric pumped storage,-4333.000000,-0.109730,1.000000,0.002912,-99999.000000,-99999.000000,-391.000000,-1.180377,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-218.000000,-0.334731,-304.000000,-0.225630,-549.000000,-0.246538,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-869.000000,-0.840710,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,266.000000,0.287462,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-266.000000,-0.223083,-99999.000000,-99999.000000,0.000000,0.000000,-796.000000,-0.846259,-1162.000000,-1.505123,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-76.000000,-0.099177,46.000000,0.078215,-99999.000000,-99999.000000,-81.000000,-0.109142,-99999.000000,-99999.000000,22.000000,0.019924,-215.000000,-0.400604,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,255.000000,0.140504,-99999.000000,-99999.000000,1.000000,0.000890,-99999.000000,-99999.000000,-99999.000000,-99999.000000
other,7127.000000,0.180486,696.000000,2.026909,195.000000,2.001026,877.000000,2.647547,68.000000,0.351403,-99999.000000,-99999.000000,-99999.000000,-99999.000000,385.000000,0.591153,763.000000,0.566301,744.000000,0.334106,0.000000,0.000000,89.000000,0.079203,161.000000,0.155759,0.000000,0.000000,25.000000,0.039662,-99999.000000,-99999.000000,-99999.000000,-99999.000000,321.000000,0.627922,17.000000,0.018372,-99999.000000,-99999.000000,43.000000,0.120307,0.000000,0.000000,-99999.000000,-99999.000000,1354.000000,0.617985,-99999.000000,-99999.000000,302.000000,0.801167,141.000000,0.112209,0.000000,0.000000,269.000000,0.348432,0.000000,0.000000,-99999.000000,-99999.000000,3.000000,0.003330,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000906,1.000000,0.001863,-99999.000000,-99999.000000,325.000000,1.209077,1.000000,0.002826,0.000000,0.000000,-99999.000000,-99999.000000,-99999.000000,-99999.000000,162.000000,0.089262,24.000000,0.040637,73.000000,0.064963,0.000000,0.000000,15.000000,0.177096